Image Name,Prompt
"anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers.jpg","anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers"
Anarkali suit with a modern twist.jpg,Anarkali suit with a modern twist
Anarkali suit with fitted bodice with a high neckline.jpg,Anarkali suit with fitted bodice with a high neckline
"anarkali suit with intricate silver embellishments on the neckline, sleeves.jpg","anarkali suit with intricate silver embellishments on the neckline, sleeves"
anarkali suit with lavender in color with intricate white patterns throughout the fabric.jpg,anarkali suit with lavender in color with intricate white patterns throughout the fabric
"anarkali suit. It consists of a turquoise skirt with detailed golden embroidery, a multicolored blouse with floral patterns, and an orange dupatta with lace borders.jpg","anarkali suit. It consists of a turquoise skirt with detailed golden embroidery, a multicolored blouse with floral patterns, and an orange dupatta with lace borders"
"ark green, knee-length dress with short sleeves and a white, patterned neckline.jpg","ark green, knee-length dress with short sleeves and a white, patterned neckline"
beige top adorned with black dots and a green skirt.jpg,beige top adorned with black dots and a green skirt
black and white gingham checkered A-line dress with a flared skirt.jpg,black and white gingham checkered A-line dress with a flared skirt
"black double-breasted blazer with gold buttons, paired with a mid-length skirt.jpg","black double-breasted blazer with gold buttons, paired with a mid-length skirt"
black dress with lace detailing.jpg,black dress with lace detailing
black dress with sparkling details.jpg,black dress with sparkling details
black floral saree.jpg,black floral saree
black jumpsuit with a diagonal stripe of glittering material running across the body.jpg,black jumpsuit with a diagonal stripe of glittering material running across the body
black lace bustier top paired with high-waisted black trousers.jpg,black lace bustier top paired with high-waisted black trousers
black off-shoulder dress with belt.jpg,black off-shoulder dress with belt
black top with spaghetti straps and a black skirt adorned with a fringe detail at the hem.jpg,black top with spaghetti straps and a black skirt adorned with a fringe detail at the hem
"black top, white trousers.jpg","black top, white trousers"
"black, sequined dress with thin shoulder straps.jpg","black, sequined dress with thin shoulder straps"
blue dress with a floral pattern.jpg,blue dress with a floral pattern
bright red kurta with an intricate patterned design.jpg,bright red kurta with an intricate patterned design
"bright red, form-fitting, strapless dress with a high slit on one side revealing part of the leg.jpg","bright red, form-fitting, strapless dress with a high slit on one side revealing part of the leg"
"bright red, sequined dress with thin shoulder straps.jpg","bright red, sequined dress with thin shoulder straps"
burgundy off-the-shoulder dress with an asymmetrical hemline.jpg,burgundy off-the-shoulder dress with an asymmetrical hemline
"burnt orange long-sleeve top, a plaid skirt with brown tones, and a matching burnt orange beret.jpeg","burnt orange long-sleeve top, a plaid skirt with brown tones, and a matching burnt orange beret"
chic and elegant outfit consisting of a pair of high-waisted wide-leg trousers paired with a long-sleeve sheer lace top.jpg,chic and elegant outfit consisting of a pair of high-waisted wide-leg trousers paired with a long-sleeve sheer lace top
classic black slip dress with a midi length.jpg,classic black slip dress with a midi length
colorful saree.jpg,colorful saree
"cream-colored, long, open-front coat with wide lapels.jpg","cream-colored, long, open-front coat with wide lapels"
"dark blue, knee-length dress with thin straps.jpg","dark blue, knee-length dress with thin straps"
"dark, elegant, sleeveless dress that reaches down to about mid-calf.jpg","dark, elegant, sleeveless dress that reaches down to about mid-calf"
"deep burgundy, silky dress with long sleeves and a wrap-style front.jpg","deep burgundy, silky dress with long sleeves and a wrap-style front"
dress with a classic black and white houndstooth pattern.jpg,dress with a classic black and white houndstooth pattern
fitted black dress that reaches down to mid-calf.jpg,fitted black dress that reaches down to mid-calf
"fitted, cream-colored dress with long sheer sleeves.jpg","fitted, cream-colored dress with long sheer sleeves"
"fitted, off-the-shoulder white dress with horizontal ribbed texture.jpg","fitted, off-the-shoulder white dress with horizontal ribbed texture"
"fitted, ruched dress with a sweetheart neckline and long mesh sleeves.jpg","fitted, ruched dress with a sweetheart neckline and long mesh sleeves"
"fitted, short, yellow dress with short sleeves.jpeg","fitted, short, yellow dress with short sleeves"
floral dress with long sleeves.jpeg,floral dress with long sleeves
flowing green off-shoulder dress.jpg,flowing green off-shoulder dress
"fluffy, possibly faux fur or eyelash knit sweater with a cropped cut top.jpg","fluffy, possibly faux fur or eyelash knit sweater with a cropped cut top"
"form-fitting dress with a vibrant pattern of yellow, blue, and black.jpg","form-fitting dress with a vibrant pattern of yellow, blue, and black"
glamorous two-piece outfit featuring a sequined design.jpeg,glamorous two-piece outfit featuring a sequined design
"green dress with a floral pattern, paired with matching green trousers.jpg","green dress with a floral pattern, paired with matching green trousers"
"high-waisted white trousers paired with a structured, corset-style bodice featuring mesh.jpg","high-waisted white trousers paired with a structured, corset-style bodice featuring mesh"
l-htdrss7133-honky-tonky-original-imagszfhfghhs2rp.jpeg,l-htdrss7133-honky-tonky-original-imagszfhfghhs2rp
ladies-party-wear-cotton-short-dress-full.jpg,ladies-party-wear-cotton-short-dress-full
"light blue, sequined dress with a V-neckline, long sleeves.jpg","light blue, sequined dress with a V-neckline, long sleeves"
light brown sleeveless double-breasted blazer paired with matching straight-leg trousers.jpg,light brown sleeveless double-breasted blazer paired with matching straight-leg trousers
"light green, short dress with lace detailing around the waist and the edges of the sleeves and hem.jpg","light green, short dress with lace detailing around the waist and the edges of the sleeves and hem"
"long, elegant blue dress with an off-the-shoulder design with sheer sleeves.jpg","long, elegant blue dress with an off-the-shoulder design with sheer sleeves"
"long, elegant, teal dress with a high slit on one side.jpg","long, elegant, teal dress with a high slit on one side"
"long, flowing dress with a full skirt.jpg","long, flowing dress with a full skirt"
"long, flowing, pink dress with a sparkly texture.jpg","long, flowing, pink dress with a sparkly texture"
"long, intricately designed dress with full sleeves.jpg","long, intricately designed dress with full sleeves"
metallic-looking jacket with intricate designs and fringes hanging from the sleeves.jpg,metallic-looking jacket with intricate designs and fringes hanging from the sleeves
off-the-shoulder black ball gown.jpg,off-the-shoulder black ball gown
"one-shoulder, black, sequined dress with fringe detailing at the hem.jpg","one-shoulder, black, sequined dress with fringe detailing at the hem"
"one-shoulder, fitted dress that features sequin embellishments and sheer panels.jpg","one-shoulder, fitted dress that features sequin embellishments and sheer panels"
"pink, knee-length dress that sparkles.jpg","pink, knee-length dress that sparkles"
red dress adorned with an intricate white pattern.jpg,red dress adorned with an intricate white pattern
red dress with a pattern of small white flowers.jpg,red dress with a pattern of small white flowers
red velvet sheath midi dress.jpg,red velvet sheath midi dress
royal blue off-shoulder dress.jpg,royal blue off-shoulder dress
salwar kameez in a vibrant red color with detailed embroidery.jpg,salwar kameez in a vibrant red color with detailed embroidery
shiny purple sequined dress with a one-shoulder design.jpg,shiny purple sequined dress with a one-shoulder design
"shiny, silver, wrap-style dress with long sleeves.jpg","shiny, silver, wrap-style dress with long sleeves"
"short, blue floral dress with long puffed sleeves.jpg","short, blue floral dress with long puffed sleeves"
"short, white, sleeveless dress with thin straps.jpg","short, white, sleeveless dress with thin straps"
sleeveless dress adorned with pink sequins.jpg,sleeveless dress adorned with pink sequins
sleeveless dress with a high neckline.jpeg,sleeveless dress with a high neckline
solid dark blue top and a floral pattern on the bottom.jpg,solid dark blue top and a floral pattern on the bottom
sophisticated black dress with an asymmetrical design with one sleeve and a strapless neckline on the opposite side.jpg,sophisticated black dress with an asymmetrical design with one sleeve and a strapless neckline on the opposite side
sparkling black dress.jpg,sparkling black dress
sparkling blue dress.jpeg,sparkling blue dress
sparkling white dress with long sleeves.jpg,sparkling white dress with long sleeves
"sparkling, fitted dress 2.jpeg","sparkling, fitted dress 2"
"sparkling, fitted dress with long sleeves.jpg","sparkling, fitted dress with long sleeves"
"sparkling, fitted dress.jpeg","sparkling, fitted dress"
"sparkling, sequined dress.jpg","sparkling, sequined dress"
strapless red midi dress with a mermaid silhouette.jpg,strapless red midi dress with a mermaid silhouette
"strapless, sequined dress that sparkles with multiple colors.jpg","strapless, sequined dress that sparkles with multiple colors"
"tight-fitting, off-the-shoulder white dress 2.jpg","tight-fitting, off-the-shoulder white dress 2"
vibrant blue and a neutral tone adorned with colorful floral patterns.jpg,vibrant blue and a neutral tone adorned with colorful floral patterns
well-fitted beige suit.jpg,well-fitted beige suit
white dress adorned with colorful floral patterns.jpg,white dress adorned with colorful floral patterns
"white, intricately detailed top and a flowing dark blue skirt.jpg","white, intricately detailed top and a flowing dark blue skirt"
Women-off-the-shoulder-sexy-embroidery-fashion-party-dress-1.png,Women-off-the-shoulder-sexy-embroidery-fashion-party-dress-1
"yellow, intricately designed Anarkali suit.jpeg","yellow, intricately designed Anarkali suit"
